Wed Jul 21 00:19:53 2021    profile.bin

         20713429 function calls (19569083 primitive calls) in 46.702 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   212284    0.112    0.000    0.192    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\batchnorm.py:296(_check_input_dim)
    44334    0.017    0.000    0.186    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\_methods.py:36(_sum)
1727748/1727738    0.183    0.000    0.183    0.000 {built-in method builtins.isinstance}
      715    0.182    0.000    0.182    0.000 {built-in method io.open_code}
   112947    0.116    0.000    0.178    0.000 D:\MyProject\alphaCG\oware\owareGame.py:132(copy)
   705385    0.178    0.000    0.178    0.000 D:\MyProject\alphaCG\utils.py:21(__getattr__)
      788    0.004    0.000    0.163    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.157    0.157 D:\MyProject\alphaCG\Manager.py:1(<module>)
      766    0.001    0.000    0.157    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
  767/766    0.002    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
   212296    0.104    0.000    0.155    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_VF.py:25(__getattr__)
     3089    0.002    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     3112    0.153    0.000    0.153    0.000 {built-in method nt.stat}
    84912    0.152    0.000    0.152    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
     1223    0.009    0.000    0.142    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.141    0.141 D:\MyProject\alphaCG\oware\owareNNet.py:1(<module>)
        1    0.000    0.000    0.140    0.140 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\__init__.py:1(<module>)
        1    0.000    0.000    0.134    0.134 D:\MyProject\alphaCG\MCTS.py:1(<module>)
        1    0.000    0.000    0.133    0.133 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\__init__.py:1(<module>)
  1661270    0.133    0.000    0.133    0.000 {method 'get' of 'dict' objects}
   112948    0.076    0.000    0.120    0.000 D:\MyProject\alphaCG\oware\owareGame.py:13(getPlayerBoard)
   212284    0.068    0.000    0.111    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\backends\__init__.py:31(__get__)
    42553    0.046    0.000    0.107    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\grad_mode.py:128(__exit__)
    85106    0.072    0.000    0.106    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\grad_mode.py:213(__init__)
   512461    0.105    0.000    0.105    0.000 {built-in method builtins.sum}
    42553    0.048    0.000    0.105    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\grad_mode.py:124(__enter__)
   225042    0.105    0.000    0.105    0.000 D:\MyProject\alphaCG\oware\owareGame.py:110(__init__)
        1    0.000    0.000    0.102    0.102 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:7(<module>)
    42457    0.029    0.000    0.102    0.000 D:\MyProject\alphaCG\oware\owareGame.py:128(getNNInput)
    42580    0.094    0.000    0.100    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\grad_mode.py:119(__init__)
   679356    0.099    0.000    0.099    0.000 {built-in method torch._C._has_torch_function_unary}
   450687    0.096    0.000    0.096    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.095    0.095 C:\Users\Choigj\anaconda3\lib\site-packages\torch\functional.py:1(<module>)
        1    0.000    0.000    0.092    0.092 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\__init__.py:1(<module>)
  771/768    0.001    0.000    0.088    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.082    0.082 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\__init__.py:7(<module>)
   212340    0.080    0.000    0.080    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     3470    0.077    0.000    0.080    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.078    0.078 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\__init__.py:1(<module>)
        1    0.000    0.000    0.074    0.074 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\compat.py:7(<module>)
        1    0.000    0.000    0.072    0.072 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\__init__.py:1(<module>)
    34/33    0.000    0.000    0.071    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
    34/33    0.069    0.002    0.071    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.066    0.066 C:\Users\Choigj\anaconda3\lib\unittest\__init__.py:1(<module>)
        1    0.000    0.000    0.059    0.059 C:\Users\Choigj\anaconda3\lib\unittest\async_case.py:1(<module>)
232879/232878    0.058    0.000    0.058    0.000 {built-in method builtins.getattr}
   511244    0.057    0.000    0.057    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.056    0.056 C:\Users\Choigj\anaconda3\lib\asyncio\__init__.py:1(<module>)
   552019    0.054    0.000    0.054    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.053    0.053 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\__init__.py:1(<module>)
    42457    0.052    0.000    0.052    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1065    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
   297196    0.050    0.000    0.050    0.000 {built-in method torch._C._has_torch_function_variadic}
1770/1766    0.018    0.000    0.048    0.000 {built-in method builtins.__build_class__}
      973    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.043    0.043 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\__init__.py:1(<module>)
   212284    0.043    0.000    0.043    0.000 {built-in method torch._C._get_cudnn_enabled}
    44191    0.042    0.000    0.042    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
      713    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      713    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
     1735    0.002    0.000    0.036    0.000 <__array_function__ internals>:2(argwhere)
      714    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.035    0.035 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantizable\__init__.py:1(<module>)
        1    0.000    0.000    0.034    0.034 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantizable\modules\__init__.py:1(<module>)
