Wed Jul 21 00:19:53 2021    profile.bin

         20713429 function calls (19569083 primitive calls) in 46.702 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\fuser_method_mappings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\fft\helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\quant_type.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\flatten.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\backends\cudnn\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\_monitor.py:50(exit)
       11    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:2006(getLogger)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\opcode.py:2(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\utils\parametrize.py:1(<module>)
       14    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\hashlib.py:123(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansi.py:2(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\ssd.py:108(SSD)
       30    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\module.py:270(register_buffer)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\rnn.py:470(LSTM)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\extension.py:73(_check_cuda_version)
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:822(__or__)
       50    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\_internal.py:784(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\initialise.py:23(init)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\_decorator.py:53(non_deterministic)
        4    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:658(find_defined_levels)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\rnn.py:24(RNNBase)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\memory.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       24    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\ctypes\__init__.py:383(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\records.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\initialise.py:74(wrap_stream)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\importer.py:1(<module>)
      3/2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\decorators.py:35(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\_iotools.py:1(<module>)
       30    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\onnx\symbolic_opset11.py:2(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansitowin32.py:73(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\traceback.py:388(format)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\upsampling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\anchor_utils.py:9(AnchorGenerator)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\container.py:256(ModuleDict)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\utils.py:286(_screen_shape_windows)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\package_importer.py:31(PackageImporter)
      106    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\terminal\__init__.py:420(enable_ansi_support)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\phototour.py:12(PhotoTour)
        9    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:1272(getLogger)
      169    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:206(_check_generic)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\datapipes\iter\loadfilesfromdisk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\container.py:526(ParameterDict)
       18    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\core.py:1003(__init__)
       20    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansitowin32.py:245(convert_osc)
       48    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\polynomial\hermite.py:1(<module>)
        7    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:958(formatTime)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\container.py:143(ModuleList)
       68    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\pickletools.py:1124(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\tokenize.py:319(read_or_stop)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\locks.py:1(<module>)
       27    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\utils.py:102(__init__)
      849    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\normalization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\mobilenetv2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\ssl.py:182(_TLSAlertType)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\vgg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\adaptive.py:3(<module>)
       10    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\hashlib.py:79(__get_builtin_constructor)
      406    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\_utils\collate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\selector_events.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:3091(signature)
       48    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_tensor.py:967(grad)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\_exceptions.py:1(<module>)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\batchnorm.py:64(reset_running_stats)
        7    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:584(formatTime)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\dropout.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:2839(from_callable)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_trace.py:525(ignore_lib_warnings)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\_type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\resnet.py:144(ResNet)
       27    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:182(isgeneratorfunction)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\stl10.py:1(<module>)
      4/2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:2206(_signature_from_callable)
       47    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:839(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\kitti.py:1(<module>)
     1652    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\intrinsic\modules\fused.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\flatten.py:48(Unflatten)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\constants.py:1(<module>)
       16    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\observer.py:11(_with_args)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\ssdlite.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\synchronize.py:11(<module>)
      121    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\threading.py:979(join)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\container.py:398(ParameterList)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\checkpoint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\folder.py:107(DatasetFolder)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\container.py:29(Sequential)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\resnet.py:37(BasicBlock)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:1473(__init__)
       60    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\transformer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\distributed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\transforms\functional_tensor.py:1(<module>)
     1065    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_builtins.py:125(_is_special_functional_bound_op)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\threading.py:1017(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\optim\lr_scheduler.py:1(<module>)
  119/116    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       24    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\ctypes\__init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\package_exporter.py:133(PackageExporter)
       68    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:484(_find_data_type)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_recursive.py:312(ConcreteTypeStore)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\email\quoprimime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\datapipes\iter\callable.py:28(MapIterDataPipe)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\places365.py:1(<module>)
       12    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\mobilenetv3.py:1(<module>)
        7    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\winterm.py:71(style)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\__init__.py:68(<listcomp>)
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
       27    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:171(_has_code_flag)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:785(_missing_)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\fft\__init__.py:1(<module>)
      697    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\dataset.py:215(ConcatDataset)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\datapipes\iter\selecting.py:9(FilterIterDataPipe)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\__init__.py:239(_sanity_check)
       10    0.000    0.000    0.000    0.000 {built-in method tensor}
       29    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\os.py:670(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:705(find_level_aliases)
      771    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansi.py:26(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\parameter.py:1(<module>)
       88    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\onnx\symbolic_opset10.py:2(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method ones}
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:792(_create_pseudo_member_)
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\terminal\__init__.py:277(ansi_wrap)
       48    0.000    0.000    0.000    0.000 {built-in method _has_compatible_shallow_copy_type}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\reduction.py:10(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\amp\grad_scaler.py:41(GradScaler)
        6    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:248(_tp_cache)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\init.py:189(ones_)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\_mock_zipreader.py:1(<module>)
        6    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\numeric.py:2388(extend_all)
     1188    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      162    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\shufflenetv2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\distribution.py:8(Distribution)
       95    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       15    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\arrayprint.py:1489(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\analyze\trace_dependencies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\find_file_dependencies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\onnx\symbolic_opset13.py:5(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\win32.py:98(winapi_test)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\imagenet.py:1(<module>)
       11    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\ntpath.py:221(dirname)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\mixins.py:63(NDArrayOperatorsMixin)
      316    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\streams.py:1(<module>)
     1253    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\sparse\__init__.py:2(<module>)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\init.py:57(_no_grad_fill_)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\extras.py:237(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\inception.py:63(Inception3)
        4    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:686(level_to_number)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantizable\modules\rnn.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\flickr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\contextlib.py:72(inner)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\unittest\util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\tasks.py:1(<module>)
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\terminal\__init__.py:166(ansi_style)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\datapipes\iter\readfilesfromzip.py:1(<module>)
       12    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\functools.py:525(decorating_function)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\gzip.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\genericpath.py:39(isdir)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\stl10.py:11(STL10)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_tensor.py:50(Tensor)
       19    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\_collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\_version.py:2(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\quantization\inception.py:1(<module>)
      202    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\socket.py:76(<lambda>)
       36    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\struct.py:3(<module>)
        4    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\win32.py:99(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_jit_internal.py:742(_overload_method)
      418    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      190    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\observer.py:490(PerChannelMinMaxObserver)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\extras.py:241(getdoc)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\video\resnet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\core.py:6358(__new__)
       95    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\kitti.py:11(Kitti)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\independent.py:1(<module>)
     1187    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\win32.py:92(_winapi_test)
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
      204    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\socket.py:86(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\ssl.py:223(_TLSMessageType)
      205    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\socket.py:91(<lambda>)
      203    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\sparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\winterm.py:24(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\dirichlet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\synchronize.py:186(__init__)
      540    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\glob.py:154(_ishidden)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\futures\__init__.py:19(Future)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\grad_mode.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:864(_decompose)
        4    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\synchronize.py:50(__init__)
      277    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\glob_group.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\von_mises.py:1(<module>)
      119    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansitowin32.py:212(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\__init__.py:328(StreamContext)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\retinanet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\transforms\autoaugment.py:130(AutoAugment)
       15    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\arrayprint.py:477(wrapper)
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\ntpath.py:214(basename)
       28    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\init.py:278(_calculate_fan_in_and_fan_out)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\transports.py:1(<module>)
